7,0.293213,0.001065,-0.029827,0.035154
-0.938354,-0.065674,0.309448,-0.305731,-0.150202,0.220510
-0.937744,-0.055176,0.326294,-0.121440,-0.140615,0.232228
-0.957031,-0.052002,0.323364,0.051133,-0.141680,0.226901
-0.953125,0.001099,0.309326,0.153398,-0.132093,0.196009
-0.953857,0.014404,0.298706,0.150202,-0.121440,0.119310
-0.946045,-0.018311,0.291504,0.138484,-0.116114,0.045806
-0.936646,-0.036987,0.300659,0.180030,-0.098004,0.052198
-0.948975,-0.030762,0.318359,0.271643,-0.082025,0.051133
-0.962646,0.034180,0.317993,0.176834,-0.059655,0.047937
-0.953247,0.052002,0.315308,0.063916,-0.045806,-0.022371
-0.938843,0.052368,0.307373,-0.134223,-0.020240,-0.027697
-0.928101,0.001709,0.303345,-0.194943,0.007457,-0.066046
-0.923828,-0.029419,0.313965,-0.109722,0.013848,-0.054329
-0.939453,-0.038574,0.333618,0.015979,0.007457,-0.061785
-0.960693,-0.042847,0.332397,0.237554,-0.022371,-0.076699
-0.959595,0.033813,0.320190,0.363255,-0.034088,-0.084156
-0.955444,0.072754,0.309326,0.269512,-0.027697,-0.108657
-0.952271,0.074585,0.307129,0.023436,0.010653,-0.103331
-0.959229,0.048096,0.322388,-0.055394,0.024501,-0.075634
-0.959717,0.031494,0.322510,-0.040480,0.030893,-0.043676
-0.971191,0.027222,0.323486,0.069242,0.053263,-0.056459
-1.006714,0.040894,0.337891,0.102265,0.089482,-0.026632
-1.016846,0.107056,0.373169,-0.171508,0.124636,-0.054329
-0.983643,0.058228,0.407593,-0.435693,0.123571,-0.131028
-0.953247,-0.009277,0.423462,-0.491087,0.061785,-0.165116
-0.946533,-0.050903,0.411499,-0.396279,-0.036219,-0.190682
-0.943237,-0.085083,0.376587,-0.021305,-0.175769,-0.187487
-0.930664,-0.134033,0.331177,0.423975,-0.262055,-0.166181
-0.932861,-0.069214,0.290527,0.853277,-0.362190,-0.092678
-0.933228,0.073120,0.245850,0.800014,-0.409062,0.003196
-0.928589,0.085693,0.227417,0.599744,-0.404801,0.044741
-0.925903,0.045166,0.240601,0.444215,-0.374973,0.060720
-0.926270,0.004639,0.258301,0.476173,-0.302535,0.083091
-0.939819,-0.002930,0.288208,0.619984,-0.216249,0.119310
-0.952271,-0.022217,0.327759,0.880974,-0.149137,0.127832
-0.960205,0.048218,0.344116,1.022654,-0.125701,0.155529
-0.949097,0.175049,0.353760,0.445281,-0.068177,0.104396
-0.907715,0.162476,0.351807,0.149137,-0.023436,0.073503
-0.876343,0.139282,0.345947,-0.084156,0.034088,0.085221
-0.857544,0.102539,0.347656,-0.272708,0.101200,0.047937
-0.863159,0.054199,0.357910,-0.320645,0.164051,0.005326
-0.883545,0.015015,0.371094,-0.186421,0.201335,-0.019175
-0.904785,0.011597,0.374756,0.015979,0.216249,-0.040480
-0.913574,0.019287,0.368286,0.210922,0.219445,-0.056459
-0.929565,0.045776,0.356201,0.362190,0.209857,-0.064981
-0.947144,0.078491,0.348633,0.419714,0.186421,-0.064981
-0.953369,0.100586,0.342285,0.388822,0.172573,-0.050067
-0.958984,0.102783,0.340576,0.344081,0.167247,-0.025566
-0.949829,0.100464,0.343750,0.297209,0.168312,-0.009587
-0.929321,0.099487,0.348511,0
